,vehicle,miles_bin,origin_state,count,rpm mean,rpm median,rpm std,vehicle_rank
116,CUBE VAN,2,AL,4,2.449267821857799,2.380647925527671,0.29036826512661806,2
117,CUBE VAN,2,MI,7,3.0563394233160692,3.0456491712707185,0.5380841167309844,2
118,CUBE VAN,2,PU,4,2.100190374706306,2.131397675930824,0.23055952195791046,2
119,CUBE VAN,2,TX,39,2.2971133108476667,2.187837837837838,0.6014976913393225,2
120,CUBE VAN,2,WI,3,2.5268698025816376,2.4492162554426704,0.4359288483857496,2
121,CUBE VAN,3,AL,3,1.8294648613797548,1.7408123791102514,0.47768025508502376,2
122,CUBE VAN,3,CU,3,2.7082347766456145,2.3814897413024085,0.9228464032480126,2
123,CUBE VAN,3,GA,3,2.325343103684427,2.1258503401360542,0.914707621197019,2
124,CUBE VAN,3,IL,3,1.7718539364880828,1.709401709401709,0.2540264630425912,2
125,CUBE VAN,3,NX,3,4.083211017725924,3.9435105407882673,0.6242198822751919,2
126,CUBE VAN,3,TN,23,1.9102699495573123,1.8439108061749567,0.37932918657790143,2
127,CUBE VAN,3,TX,107,2.400467492253183,2.380952380952381,0.6176295912514419,2
128,CUBE VAN,4,AG,6,2.5541097373582464,2.046301543729154,1.3887082291320414,2
129,CUBE VAN,4,AZ,3,2.2344365182578785,2.19677371541502,0.5187018132986206,2
130,CUBE VAN,4,CA,9,1.9749034310826774,1.8461876247504991,0.5208542199234909,2
131,CUBE VAN,4,CT,3,1.8215299490515628,1.92519305019305,0.24943069972587636,2
132,CUBE VAN,4,CU,42,2.439885509558807,2.143301268895115,1.0156248997512525,2
133,CUBE VAN,4,EM,10,2.794569896181271,2.5540820927545154,1.2342058374442675,2
134,CUBE VAN,4,GJ,29,2.4541224226968525,2.0172910662824206,0.9993588290101295,2
135,CUBE VAN,4,IL,19,1.8911964792927793,1.774891774891775,0.29404516847378104,2
136,CUBE VAN,4,IN,34,1.8801959980175469,1.7816230994669657,0.4079673619593577,2
137,CUBE VAN,4,JA,28,2.529427465952627,2.271386052944612,0.8740316500014216,2
138,CUBE VAN,4,KY,17,1.9658717353461772,1.8380566801619436,0.8053909582288642,2
139,CUBE VAN,4,MA,10,1.919871794871795,2.0492216117216118,0.3744352592508638,2
140,CUBE VAN,4,MI,110,1.4409239068433544,1.446153846153846,0.3309329355290524,2
141,CUBE VAN,4,MR,3,1.8466945925340699,1.5470226377952756,0.5551582104127271,2
142,CUBE VAN,4,NC,6,1.7285561251216492,1.6902438504621475,0.26611963129961685,2
143,CUBE VAN,4,NJ,3,1.6382607582377133,1.5776081424936388,0.2244385119387148,2
144,CUBE VAN,4,NX,65,2.1892050236952283,1.8529076396807296,0.7347734529011245,2
145,CUBE VAN,4,NY,4,1.7455917370351206,1.7529556389028236,0.21898382433638036,2
146,CUBE VAN,4,OH,18,1.5394081918369529,1.546817441407745,0.271801237013972,2
147,CUBE VAN,4,ON,3,2.238659096640532,2.0812036273701566,0.5098291725089615,2
148,CUBE VAN,4,PA,17,1.8343629923661458,1.759467969598263,0.2789482107316318,2
149,CUBE VAN,4,PU,13,2.315166164968938,2.421432251416796,0.35590447667398983,2
150,CUBE VAN,4,QA,31,2.139260422718647,1.871522508851796,0.7575306866250541,2
151,CUBE VAN,4,SC,18,2.0741594481196035,1.9996031746031746,0.4607896370489644,2
152,CUBE VAN,4,SL,17,2.1250350088490806,1.9344359125812167,0.5120972489766757,2
153,CUBE VAN,4,TN,4,2.06031745014189,1.9626463447089573,0.515350112835631,2
154,CUBE VAN,4,TX,370,1.9003635715617757,1.7890877132748424,0.5870761089029445,2
155,CUBE VAN,4,VA,7,1.7670122111441533,1.8152866242038217,0.528916519546195,2
156,CUBE VAN,4,WI,14,2.040388731888085,1.9080822090530827,0.34679273719743986,2
157,SPRINTER,0,AZ,4,4.278253903485538,4.516881929585683,1.8050752872942852,1
158,SPRINTER,0,IL,19,2.6613860635428055,2.514417910447761,0.6968082613141261,1
159,SPRINTER,0,IN,15,2.9396854577027947,2.8580625,0.9096513579095378,1
160,SPRINTER,0,KY,30,2.507804759642617,2.382619666142741,0.5874163252703509,1
161,SPRINTER,0,MI,39,2.448659419186439,2.546910994764398,0.5416482684819914,1
162,SPRINTER,0,NY,7,2.4523623118559597,2.40593837535014,0.7783512582999499,1
163,SPRINTER,0,OH,15,2.54676055351809,2.446866485013624,0.6256696337823673,1
164,SPRINTER,0,PA,4,2.3643432335626873,2.2138664174527616,0.5901408849338463,1
